id,label
110499,0
101319,0
108883,0
100925,0
110852,1
109538,0
108874,0
100082,1
110470,0
109725,1
103874,0
108214,1
102266,1
112940,1
102318,1
102162,1
106268,0
101888,1
108397,1
100901,1
106980,1
106283,0
110891,0
103818,0
111938,1
106200,1
109116,1
107311,1
102213,1
112378,1
110819,1
112456,0
110846,1
104540,0
110136,1
110718,1
103530,1
101797,1
110143,0
102987,0
108970,0
102506,1
109392,0
100695,1
103336,0
110388,0
101995,0
109812,0
107717,0
106342,1
112201,0
104207,1
105057,0
100110,1
103594,0
110747,0
101456,0
108880,0
103008,1
112871,1
101314,1
110408,1
110125,1
106336,0
104844,1
101023,0
110072,0
107032,1
105883,0
101843,0
108219,0
110919,0
104064,0
103193,0
100828,1
103003,1
101164,1
100528,1
103058,1
105311,0
103760,1
106328,1
102560,0
112713,1
110644,0
100809,0
110002,1
100998,0
107593,0
110869,1
109575,1
104607,1
100909,1
106267,0
112285,1
109520,0
100407,1
101775,1
100014,1
103061,0
112266,1
112412,0
109710,0
110987,0
109718,0
104144,1
103589,1
102550,0
106958,1
103499,1
111890,0
109223,0
106925,0
108481,0
112029,1
108155,0
105843,0
101345,0
107741,0
102728,0
100850,1
100504,0
105346,0
109888,0
108400,1
104394,1
101142,0
102330,0
108077,1
101814,0
102177,0
109238,1
100574,1
109178,0
106081,1
106866,0
109104,0
105642,0
100929,0
101772,1
103053,1
102481,0
107776,1
105950,1
103950,0
103100,0
109152,0
107769,1
103549,1
104228,1
107568,0
110815,1
111073,0
103370,0
109466,1
111769,1
112206,1
107069,1
105031,1
111235,1
103743,1
104359,1
111945,0
108791,0
109643,1
101520,1
112325,0
101469,0
108466,1
103537,1
108822,1
102741,0
101743,0
104771,1
100372,1
102904,1
106915,0
102556,0
101691,1
108082,1
110304,1
108477,1
104413,1
107838,1
105236,0
104888,0
108660,1
101097,1
100898,0
109257,1
111778,0
110487,0
109544,0
103107,0
107387,1
110344,0
111476,1
105187,1
107940,1
110249,0
104546,0
104241,1
109098,1
112880,1
103990,1
104564,1
109692,0
100304,0
101494,1
101688,1
111661,1
101406,1
112311,1
103768,0
108906,0
106001,1
107261,1
110949,0
111273,0
100640,0
107352,0
110660,0
106307,0
103154,1
111774,0
110081,1
112079,0
104736,0
104177,1
105138,1
103292,1
100016,1
111430,0
104809,1
103027,1
107704,0
110441,1
107177,0
109366,1
111095,0
100937,0
110243,1
104071,0
102230,1
100006,0
106089,0
100475,1
103025,0
105558,1
102373,0
102413,0
110502,1
100718,1
111564,0
104578,0
102524,0
105505,1
105822,0
107768,1
104746,1
103572,0
111349,0
105990,1
101898,1
111599,0
105625,0
110983,0
101698,0
102444,1
106942,0
112167,1
110343,1
102487,1
102324,0
101909,0
109097,1
112284,1
106728,1
100520,0
106520,1
111748,0
109923,1
112841,0
100904,0
102151,0
109478,1
106786,1
111885,1
106019,1
101001,1
104347,0
107252,1
101006,0
107273,1
106234,1
105976,0
110358,0
104906,1
112316,1
108597,0
100961,0
107412,1
102753,1
102348,0
111274,0
106296,0
110746,0
112058,1
103325,1
109233,1
103252,1
102264,1
103083,0
102659,1
100786,1
109234,1
105808,1
111093,1
108148,0
101394,0
110584,0
109972,0
110836,1
100721,0
110938,1
104584,0
105383,1
106788,1
106155,0
112908,0
102150,0
105203,1
101715,1
112455,0
108842,0
110082,0
112942,1
100705,0
112726,1
106994,0
101067,0
107180,1
106284,0
103534,0
102845,0
111677,0
112109,1
102912,1
105550,1
106888,0
108368,1
105278,1
107129,1
109092,1
108075,0
112502,1
108458,1
104122,1
100248,0
107418,0
104573,0
110435,0
104076,0
100580,1
103249,0
107921,0
111163,0
104534,0
111762,1
101005,0
112380,0
104189,1
111382,1
111360,1
111491,0
104634,1
100019,1
108508,1
101208,0
100406,0
109405,0
110400,1
110944,1
109839,0
109048,0
108306,0
106725,1
104821,0
108233,1
108501,1
112805,0
109357,0
101950,0
109081,1
104895,0
107504,0
105095,0
103218,0
109781,1
104440,1
102486,1
105292,1
109455,1
107573,0
108675,0
107912,1
101256,1
108732,0
105884,0
105742,0
110252,1
101160,1
102337,1
104059,0
104964,1
109072,0
107310,0
101555,1
112589,1
107524,1
105359,1
101799,1
106124,1
109952,1
103740,0
111591,1
106796,0
108702,1
102925,0
109750,0
101117,0
110173,1
104216,1
108034,0
111464,1
101690,1
102502,0
104017,0
104969,0
106563,1
102708,1
104315,0
107949,0
101783,1
112633,1
109523,0
101952,1
104913,1
106127,1
109918,1
103597,1
100626,0
110532,1
111904,0
104702,0
112522,0
103890,1
111598,0
101615,0
104742,1
102436,1
109227,1
106660,1
104631,0
101201,0
101200,0
100783,1
105728,1
104586,1
112391,0
100594,1
106204,1
109619,0
111640,1
110300,1
100675,0
105688,1
103735,0
110467,1
110687,1
107239,1
106822,0
100222,0
100932,0
112107,1
107176,1
110279,0
107633,1
100726,1
100441,0
107750,1
109585,1
109177,1
111735,1
110367,1
111448,0
105273,1
100521,0
107166,1
101999,1
107806,1
107204,1
111201,1
106867,1
102427,1
101807,1
101717,1
101798,1
111477,1
102644,1
102501,0
108035,1
111521,1
101537,0
108356,1
100286,0
107242,1
111714,0
105167,0
110132,0
111089,0
103455,0
108129,1
108659,0
105818,0
112405,1
107955,0
102699,1
109322,1
106530,0
103531,0
106449,1
108177,1
112243,1
111503,1
112610,1
109879,1
101320,0
105521,1
106854,0
103015,0
102806,0
111549,0
109175,0
106923,0
110101,1
105515,1
106881,0
108681,1
103213,0
112889,1
101859,1
109701,0
107681,0
106195,0
109674,0
103005,1
111013,0
106148,0
101946,1
107392,1
106944,1
111628,1
112535,0
102976,0
111976,0
108753,1
109078,1
111849,0
111126,1
103276,0
110392,1
112099,1
101135,1
106852,0
102954,1
104156,0
107929,1
106258,1
103923,0
102588,0
111871,0
107857,0
112687,0
103316,0
107245,1
109059,1
101446,0
110753,0
103126,1
110941,0
106300,1
104317,0
108102,1
100351,0
103974,0
112652,1
109992,1
104857,0
101420,1
108473,0
109149,0
106158,1
103237,1
110699,0
110134,1
106553,0
112863,0
103436,0
100403,0
101302,1
112354,0
105699,0
111914,0
110784,0
112817,0
101530,1
112654,1
105635,0
103037,0
109827,1
106476,0
110698,1
104222,1
103411,0
107340,1
106772,0
101879,0
107376,0
111034,1
103658,1
107832,0
101730,0
100984,1
109734,1
105251,0
107827,0
102762,1
104530,1
111892,0
112292,1
102390,0
102251,1
109602,1
104277,1
102924,1
111128,1
111889,0
109052,0
106299,0
101091,1
101192,1
106777,0
103679,0
103859,1
105864,0
103980,1
105640,1
100220,1
109535,1
101607,1
108843,1
105212,1
102066,0
110385,1
106535,0
106798,1
108764,0
111788,0
100193,0
106374,1
105917,1
101794,1
100871,1
103926,0
101460,1
101428,0
108092,1
109752,1
109468,0
110297,1
112894,0
107471,1
101848,0
103868,0
111250,0
109819,0
103278,1
110381,1
